,Name,Price €,Kilometer,Gear Type,First Registration,Gas Type,Power,Energy Efficiency,Environment Index,CO2,Registration Year,Powerhorse
296,BMW 320 i Tour M Sportpak AdLED°ACC°Headup°HIFI°eSit,35400.0,23860.0,Automatik,07/2023,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2023,184
297,BMW 320 i xDrive Sport Line/ Sportsitze/Navi/LC Plus,29900.0,44000.0,Automatik,10/2019,Benzin,135 kW (184 PS),"6,3 l/100 km (komb.)",143 g/km (komb.),,2019,184
298,BMW 320 i Touring M Sport ACC|HUD|Memory|Garantie|CAM,36500.0,42500.0,Automatik,06/2023,Benzin,135 kW (184 PS),- (l/100 km),159 g/km (komb.),CO₂-Klasse F (komb.),2023,184
299,BMW 320 i Advantage*LED*Live Cockpit*Navi*Klimaauto*,26999.0,54400.0,Automatik,10/2020,Benzin,135 kW (184 PS),"5,3 l/100 km (komb.)",120 g/km (komb.),,2020,184
300,BMW 320 i Touring Aut.~HEAD-UP~PANO~LED~TRAVEL PAKET,31900.0,50278.0,Automatik,10/2023,Benzin,135 kW (184 PS),"6,9 l/100 km (komb.)",154 g/km (komb.),,2023,184
301,"BMW 320 iA M SPORT Stop+Go,LED,LivePlus,Hifi,Kamera PDC",37840.0,8715.0,Automatik,07/2024,Benzin,135 kW (184 PS),"6,6 l/100 km (komb.)",148 g/km (komb.),CO₂-Klasse E (komb.),2024,184
302,BMW 320 320i Touring M Sport ACC Kamera Memory Komfortz,34799.0,27422.0,Automatik,05/2023,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2023,184
303,"BMW 320 3 Lim. 320 i xDrive M Sport,HIFI,Alarm,LiveCockp",34900.0,46300.0,Automatik,10/2021,Benzin,135 kW (184 PS),"5,9 l/100 km (komb.)",135 g/km (komb.),,2021,184
304,BMW 320 i+ Navi+DAB+LED+RFK+SHZ+Temp+WLAN+PDCv+h,28900.0,53800.0,Automatik,06/2021,Benzin,135 kW (184 PS),"7,2 l/100 km (komb.)",163 g/km (komb.),CO₂-Klasse F (komb.),2021,184
305,BMW 320 i Limousine G20  Advantage/Automatik/HiFi,26890.0,80445.0,Automatik,08/2020,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2020,184
306,BMW 320 i M Sport Touring *R-KAMERA*HEADUP*HIFI*NAVI*SHZ*,33780.0,31600.0,Automatik,06/2023,Benzin,135 kW (184 PS),"7,6 l/100 km (komb.)",170 g/km (komb.),CO₂-Klasse F (komb.),2023,184
307,BMW 320 i xDrive M Sport Aut. Innovationsp. ACC Kamer,36620.0,46042.0,Automatik,09/2021,Benzin,135 kW (184 PS),"6,9 l/100 km (komb.)",154 g/km (komb.),CO₂-Klasse E (komb.),2021,184
308,BMW 320 i Touring Aut.,37990.0,26302.0,Automatik,11/2022,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2022,184
309,BMW 320 i Limousine Advantage LED.DrivAss.AHK.DAB,29890.0,56594.0,Automatik,09/2021,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2021,184
310,BMW 320 i Touring M Sport AHK Pano Laser Memory HUD,33400.0,47200.0,Automatik,06/2020,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2020,184
311,BMW 320 iA Touring M-Sport Navi HUD ACC adLED RüKa,34349.0,32468.0,Automatik,04/2023,Benzin,135 kW (184 PS),"7,1 l/100 km (komb.)",159 g/km (komb.),CO₂-Klasse F (komb.),2023,184
312,BMW 320 Alarm AHK GSD LED DAB Leder Sport Stop&Go,30999.0,26311.0,Automatik,06/2021,Benzin,135 kW (184 PS),- (l/100 km),142 g/km (komb.),CO₂-Klasse A (komb.),2021,184
313,BMW 320 i Touring Aut.~HEAD-UP~PANO~LED~TRAVEL PAKET,34900.0,16450.0,Automatik,08/2023,Benzin,135 kW (184 PS),"6,9 l/100 km (komb.)",154 g/km (komb.),,2023,184
314,BMW 320 i Tour M Sportpaket AHK°ACC*el.Sitz+M*Rfcam.,35500.0,43890.0,Automatik,05/2023,Benzin,135 kW (184 PS),"7,1 l/100 km (komb.)",160 g/km (komb.),,2023,184
315,BMW 320 i Advantage LED Navi Bus. Tempomat USB Shz,22890.0,80395.0,Schaltgetriebe,06/2019,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2019,184
316,BMW 320 i DAB PDC LED Geschwindigkeitsreg.Individual,28999.0,24230.0,Automatik,08/2021,Benzin,135 kW (184 PS),- (l/100 km),151 g/km (komb.),CO₂-Klasse A (komb.),2021,184
317,BMW 320 i Tour M Sportpaket AHK°ACC*el.Sitz+M*Rfcam.,39400.0,17480.0,Automatik,01/2024,Benzin,135 kW (184 PS),"7,1 l/100 km (komb.)",160 g/km (komb.),,2024,184
318,BMW 320 i M-SPORT/SHADOW /WIDES./LED/ACC/AHK/HUD,37900.0,49400.0,Automatik,05/2023,Benzin,135 kW (184 PS),"7,2 l/100 km (komb.)",159 g/km (komb.),,2023,184
319,BMW 320 i xDrive Limo M Sport *18 ZOLL*NAVI*LASER*GSD*,32888.0,94533.0,Automatik,10/2020,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2020,184
320,BMW 320 i Touring*Sport Line*Leder*Park Assist*Panoramadac,33990.0,65283.0,Automatik,06/2021,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2021,184
321,BMW 320 320i Aut. Advantage,29990.0,55000.0,Automatik,06/2020,Benzin,135 kW (184 PS),"6,3 l/100 km (komb.)",163 g/km (komb.),CO₂-Klasse F (komb.),2020,184
322,BMW 320 i Limousine ACC Pano SHZ Memory HuD KZU,35890.0,14400.0,Automatik,10/2023,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2023,184
323,BMW 320 i Tour M Sport ACC RFK HuD HiFi QI KZU ad.LED,33190.0,31100.0,Automatik,06/2023,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2023,184
324,BMW 320 i Touring *M Sport*PanoSD*AHK*Laser*Kamera*,34599.0,53000.0,Automatik,07/2021,Benzin,135 kW (184 PS),"5,7 l/100 km (komb.)",130 g/km (komb.),,2021,184
325,BMW 320 i Automatik M Sportpaket Navi. HiFi RfKam LED,37870.0,8308.0,Automatik,06/2024,Benzin,135 kW (184 PS),"7,0 l/100 km (komb.)",148 g/km (komb.),CO₂-Klasse E (komb.),2024,184
326,BMW 320 i Touring M Sport Navi Prof Pano DAB PDC,32890.0,52990.0,Automatik,06/2021,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2021,184
327,BMW 320 i LED Glasdach PDC Keyless Bluetooth Navi Klima,30490.0,49490.0,Automatik,04/2022,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2022,184
328,BMW 320 i Advantage/Navi/Virtual/Klima/App/LED/1Hand,29990.0,77000.0,Automatik,10/2020,Benzin,135 kW (184 PS),"5,3 l/100 km (komb.)",120 g/km (komb.),,2020,184
329,BMW 320 Alarm AHK GSD LED DAB Leder Sport Stop&Go,30999.0,26311.0,Automatik,06/2021,Benzin,135 kW (184 PS),- (l/100 km),142 g/km (komb.),CO₂-Klasse A (komb.),2021,184
330,BMW 320 i xDrive MSport Steptr. Temp PDC KAM LED NAV,34990.0,59999.0,Automatik,09/2021,Benzin,135 kW (184 PS),"5,9 l/100 km (komb.)",135 g/km (komb.),,2021,184
331,BMW 320 i Tour. Advantage AHK PDC SiHz ActGu+ SmaPhInt,29930.0,33220.0,Automatik,04/2022,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2022,184
332,BMW 320 i Touring M Sport ACC RFK HUD LCP DAB Pano Navi,32950.0,40747.0,Automatik,02/2021,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2021,184
333,BMW 320 320 i xDrive M Sport Shadow line,35000.0,72000.0,Automatik,03/2020,Benzin,135 kW (184 PS),"6,1 l/100 km (komb.)",139 g/km (komb.),,2020,184
334,BMW 320 i Lim. Sport Line Laser LivePro HuD ACC LM SH,33899.0,22318.0,Automatik,10/2021,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2021,184
335,BMW 320 i M-Sport Touring Facelift LED Kamera Navi,38870.0,9300.0,Automatik,04/2024,Benzin,135 kW (184 PS),"6,6 l/100 km (komb.)",148 g/km (komb.),CO₂-Klasse E (komb.),2024,184
336,BMW 320 i Touring M Sport Auto Innovationsp. Head-Up,29440.0,83335.0,Automatik,01/2020,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2020,184
337,BMW 320 i Touring Aut Sport Line LED DriveAssist ParkAssis,29470.0,51200.0,Automatik,04/2021,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2021,184
338,BMW 320 i Touring AUT. LUXURY LEDER LC-PROF PANO CAM,30900.0,47400.0,Automatik,10/2020,Benzin,135 kW (184 PS),"5,6 l/100 km (komb.)",129 g/km (komb.),,2020,184
339,BMW 320 i Touring Sportautomatik -HUD-Kamera-adapt.LED-,37690.0,8000.0,Automatik,01/2024,Benzin,135 kW (184 PS),"6,9 l/100 km (komb.)",155 g/km (komb.),,2024,184
340,BMW 320 i Limousine GSD Laser HUD DAB HiFi PA,31790.0,51827.0,Automatik,09/2021,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2021,184
